Mass(GeV),Counts
4.033333333333332860e+01,3.650000000000000000e+02
4.100000000000000000e+01,3.610000000000000000e+02
4.166666666666667140e+01,3.240000000000000000e+02
4.233333333333332860e+01,3.030000000000000000e+02
4.300000000000000000e+01,3.480000000000000000e+02
4.366666666666667140e+01,3.470000000000000000e+02
4.433333333333332860e+01,3.450000000000000000e+02
4.500000000000000000e+01,3.140000000000000000e+02
4.566666666666667140e+01,3.630000000000000000e+02
4.633333333333332860e+01,3.250000000000000000e+02
4.700000000000000000e+01,3.260000000000000000e+02
4.766666666666667140e+01,3.270000000000000000e+02
4.833333333333332860e+01,2.930000000000000000e+02
4.900000000000000000e+01,3.040000000000000000e+02
4.966666666666666430e+01,3.080000000000000000e+02
5.033333333333332860e+01,3.140000000000000000e+02
5.100000000000000000e+01,3.250000000000000000e+02
5.166666666666666430e+01,3.180000000000000000e+02
5.233333333333332860e+01,3.000000000000000000e+02
5.300000000000000000e+01,3.540000000000000000e+02
5.366666666666666430e+01,2.800000000000000000e+02
5.433333333333332860e+01,2.990000000000000000e+02
5.500000000000000000e+01,2.990000000000000000e+02
5.566666666666666430e+01,2.890000000000000000e+02
5.633333333333332860e+01,3.020000000000000000e+02
5.700000000000000000e+01,3.290000000000000000e+02
5.766666666666666430e+01,3.140000000000000000e+02
5.833333333333332860e+01,3.230000000000000000e+02
5.900000000000000000e+01,3.210000000000000000e+02
5.966666666666666430e+01,3.150000000000000000e+02
6.033333333333332860e+01,2.970000000000000000e+02
6.100000000000000000e+01,3.280000000000000000e+02
6.166666666666666430e+01,3.050000000000000000e+02
6.233333333333332860e+01,3.230000000000000000e+02
6.300000000000000000e+01,2.820000000000000000e+02
6.366666666666666430e+01,2.830000000000000000e+02
6.433333333333332860e+01,2.970000000000000000e+02
6.500000000000000000e+01,3.160000000000000000e+02
6.566666666666665719e+01,3.270000000000000000e+02
6.633333333333332860e+01,3.160000000000000000e+02
6.700000000000000000e+01,3.150000000000000000e+02
6.766666666666665719e+01,3.170000000000000000e+02
6.833333333333332860e+01,3.240000000000000000e+02
6.900000000000000000e+01,3.400000000000000000e+02
6.966666666666665719e+01,3.430000000000000000e+02
7.033333333333332860e+01,3.680000000000000000e+02
7.100000000000000000e+01,3.430000000000000000e+02
7.166666666666665719e+01,3.690000000000000000e+02
7.233333333333332860e+01,3.410000000000000000e+02
7.300000000000000000e+01,3.480000000000000000e+02
7.366666666666665719e+01,4.040000000000000000e+02
7.433333333333332860e+01,3.780000000000000000e+02
7.500000000000000000e+01,3.990000000000000000e+02
7.566666666666665719e+01,4.010000000000000000e+02
7.633333333333332860e+01,4.230000000000000000e+02
7.700000000000000000e+01,4.340000000000000000e+02
7.766666666666665719e+01,4.690000000000000000e+02
7.833333333333332860e+01,5.270000000000000000e+02
7.900000000000000000e+01,5.240000000000000000e+02
7.966666666666665719e+01,4.600000000000000000e+02
8.033333333333332860e+01,5.960000000000000000e+02
8.100000000000000000e+01,6.200000000000000000e+02
8.166666666666665719e+01,6.660000000000000000e+02
8.233333333333332860e+01,6.720000000000000000e+02
8.300000000000000000e+01,7.330000000000000000e+02
8.366666666666665719e+01,8.610000000000000000e+02
8.433333333333332860e+01,9.660000000000000000e+02
8.500000000000000000e+01,1.086000000000000000e+03
8.566666666666665719e+01,1.252000000000000000e+03
8.633333333333332860e+01,1.457000000000000000e+03
8.700000000000000000e+01,1.670000000000000000e+03
8.766666666666665719e+01,2.236000000000000000e+03
8.833333333333332860e+01,2.839000000000000000e+03
8.900000000000000000e+01,3.708000000000000000e+03
8.966666666666665719e+01,4.529000000000000000e+03
9.033333333333332860e+01,5.457000000000000000e+03
9.100000000000000000e+01,5.455000000000000000e+03
9.166666666666665719e+01,4.763000000000000000e+03
9.233333333333332860e+01,3.607000000000000000e+03
9.300000000000000000e+01,2.521000000000000000e+03
9.366666666666665719e+01,1.549000000000000000e+03
9.433333333333332860e+01,1.045000000000000000e+03
9.500000000000000000e+01,6.760000000000000000e+02
9.566666666666665719e+01,3.960000000000000000e+02
9.633333333333332860e+01,3.220000000000000000e+02
9.700000000000000000e+01,2.090000000000000000e+02
9.766666666666665719e+01,1.660000000000000000e+02
9.833333333333332860e+01,1.160000000000000000e+02
9.900000000000000000e+01,9.800000000000000000e+01
9.966666666666665719e+01,6.100000000000000000e+01
1.003333333333333286e+02,5.200000000000000000e+01
1.010000000000000000e+02,3.500000000000000000e+01
1.016666666666666572e+02,2.400000000000000000e+01
1.023333333333333286e+02,2.300000000000000000e+01
1.030000000000000000e+02,1.800000000000000000e+01
1.036666666666666572e+02,1.600000000000000000e+01
1.043333333333333286e+02,1.100000000000000000e+01
1.050000000000000000e+02,5.000000000000000000e+00
1.056666666666666572e+02,4.000000000000000000e+00
1.063333333333333286e+02,1.000000000000000000e+00
1.070000000000000000e+02,3.000000000000000000e+00
1.076666666666666572e+02,6.000000000000000000e+00
1.083333333333333286e+02,3.000000000000000000e+00
1.090000000000000000e+02,1.000000000000000000e+00
1.096666666666666572e+02,4.000000000000000000e+00
1.103333333333333286e+02,5.000000000000000000e+00
1.110000000000000000e+02,2.000000000000000000e+00
1.116666666666666572e+02,1.000000000000000000e+00
1.123333333333333286e+02,1.000000000000000000e+00
1.130000000000000000e+02,1.000000000000000000e+00
1.136666666666666572e+02,1.000000000000000000e+00
1.143333333333333286e+02,2.000000000000000000e+00
1.150000000000000000e+02,0.000000000000000000e+00
1.156666666666666572e+02,0.000000000000000000e+00
1.163333333333333286e+02,2.000000000000000000e+00
1.170000000000000000e+02,0.000000000000000000e+00
1.176666666666666572e+02,0.000000000000000000e+00
1.183333333333333286e+02,0.000000000000000000e+00
1.190000000000000000e+02,0.000000000000000000e+00
1.196666666666666572e+02,0.000000000000000000e+00
